Beispielvorgang1;         0.00 ;        20.00 ;         4.00 ;        24.00
Beispielvorgang2;         4.00 ;        24.00 ;         7.00 ;        27.00
Beispielvorgang3;         7.00 ;        27.00 ;        12.00 ;        32.00
Beispielvorgang4;        12.00 ;        32.00 ;        17.00 ;        37.00
Beispielvorgang5;         4.00 ;        31.00 ;         7.00 ;        34.00
Beispielvorgang6;         7.00 ;        34.00 ;        10.00 ;        37.00
Beispielvorgang7;        17.00 ;        37.00 ;        19.00 ;        39.00
Beispielvorgang8;         4.00 ;        33.00 ;         8.00 ;        37.00
Beispielvorgang9;         8.00 ;        37.00 ;        10.00 ;        39.00
Beispielvorgang10;         4.00 ;        31.00 ;         9.00 ;        36.00
Beispielvorgang11;         9.00 ;        36.00 ;        12.00 ;        39.00
Beispielvorgang12;        19.00 ;        39.00 ;        23.00 ;        43.00
