Beispielvorgang1;         0.00 ;         0.00 ;         5.00 ;         5.00
Beispielvorgang2;         5.00 ;         5.00 ;         8.00 ;         8.00
Beispielvorgang3;         8.00 ;         8.00 ;        11.00 ;        11.00
Beispielvorgang4;        11.00 ;        11.00 ;        14.00 ;        14.00
Beispielvorgang5;         5.00 ;         6.00 ;        10.00 ;        11.00
Beispielvorgang6;        10.00 ;        11.00 ;        13.00 ;        14.00
Beispielvorgang7;        14.00 ;        14.00 ;        17.00 ;        17.00
Beispielvorgang8;         5.00 ;        11.00 ;         9.00 ;        15.00
Beispielvorgang9;         9.00 ;        15.00 ;        11.00 ;        17.00
Beispielvorgang10;         5.00 ;        12.00 ;         7.00 ;        14.00
Beispielvorgang11;         7.00 ;        14.00 ;        10.00 ;        17.00
Beispielvorgang12;        17.00 ;        17.00 ;        20.00 ;        20.00
